code|description
16613000|máquinas para la limpieza o la clasificación de semillas, granos o legumbres secas
16620000|ordeñadoras
16630000|máquinas para preparar alimentos para animales
16640000|máquinas y aparatos para la apicultura
16650000|máquinas y aparatos para la avicultura
16651000|incubadoras y criadoras, para la avicultura
16700000|tractores
16710000|motocultores
16720000|tractores usados
16730000|motores de tracción
16800000|partes de maquinaria agrícola y forestal
16810000|partes de maquinaria agrícola
16820000|partes de maquinaria forestal
18000000|prendas de vestir, calzado, artículos de viaje y accesorios
18100000|ropa de trabajo, ropa de trabajo especial y accesorios
18110000|indumentaria de trabajo
18113000|prendas de vestir para uso industrial
18114000|monos
18130000|ropa para trabajos especiales
18132000|ropa de vuelo
18132100|chaquetas de vuelo
18132200|trajes de vuelo
18140000|accesorios de ropa de trabajo
18141000|guantes de trabajo
18142000|viseras de seguridad
18143000|indumentaria de protección
18200000|ropa exterior
18210000|abrigos
18211000|capas
18212000|capotes
18213000|chaquetones cortavientos
18220000|ropa para la intemperie
18221000|ropa impermeable
18221100|capas impermeables
18221200|anoraks
18221300|impermeables
18222000|indumentaria corporativa
18222100|trajes y vestidos
18222200|conjuntos
18223000|chaquetas y chaquetas deportivas
18223100|chaquetas deportivas
18223200|chaquetas
18224000|prendas de vestir confeccionadas de tejidos impregnados o recubiertos
18230000|ropa exterior diversa
18231000|vestidos
18232000|faldas
18233000|pantalones cortos
18234000|pantalones
18235000|jerseys, cárdigans y artículos similares
18235100|pullovers
